priority_rank,grid_id,latitude,longitude,grid_lat,grid_lon,violation_count,unique_vehicles,impact_sum,impact_avg,peak_hour_share,junction_share,active_days,police_station,junction_name,top_vehicle_type,repeat_density,parking_violation_frequency_score,repeat_hotspot_density_score,junction_proximity_score,peak_hour_weight_score,vehicle_blockage_score,parking_violation_density_score,estimated_speed_drop_score,road_occupancy_score,road_importance_score,congestion_impact_score,score_formula,risk_band,recommended_action
29,"12.964,77.578",12.96426383380206,77.57801883664078,12.964,77.578,980,872,876.604375,0.8944942602040816,0.45510204081632655,1.0,122,City Market,BTP082 - KR Market Junction,SCOOTER,8.032786885245901,80.47118612511088,13.524590163934425,100.0,45.51020408163266,11.11212775926697,80.47118612511088,78.1237726352536,11.11212775926697,100.0,56.23185517511792,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
30,"12.974,77.551",12.973672371273713,77.55116188726288,12.974,77.551,1107,1019,640.385625,0.5784874661246613,0.25112917795844625,1.0,90,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",SCOOTER,12.3,82.0524358534151,21.73076923076923,100.0,25.112917795844623,4.663009512748189,82.0524358534151,67.56071574313289,4.663009512748189,100.0,56.23125937991763,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
31,"12.976,77.576",12.975883411158433,77.5760446068143,12.976,77.576,1174,1072,1002.8262500000001,0.8541961243611585,0.2717206132879046,1.0,123,Upparpet,BTP040 - Elite Junction,SCOOTER,9.544715447154472,82.81502899287317,16.432145090681676,100.0,27.17206132879046,10.289716823697113,82.81502899287317,73.17815942644887,10.289716823697113,100.0,55.98022568506845,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
32,"12.974,77.578",12.974042147986577,77.57824473758389,12.974,77.578,894,755,1054.5262500000001,1.1795595637583893,0.4463087248322148,1.0,123,Upparpet,BTP044 - Sagar Theatre Junction,CAR,7.2682926829268295,79.27947938915,12.054409005628518,100.0,44.63087248322148,16.92978701547733,79.27947938915,80.01375301243509,16.92978701547733,100.0,55.88145995693701,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
33,"12.978,77.574",12.97803048706084,77.573882588946,12.978,77.574,1167,1062,1452.435,1.2445886889460154,0.17994858611825193,1.0,123,Upparpet,BTP045 - Danvanthri Road Junction,CAR,9.487804878048781,82.73741744973255,16.322701688555348,100.0,17.994858611825194,18.256912019306434,82.73741744973255,73.79671241552228,18.256912019306434,100.0,55.800819465145025,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
34,"12.974,77.546",12.974351490159902,77.545854200492,12.974,77.546,813,555,446.461875,0.5491535977859778,0.22263222632226323,1.0,53,Vijayanagara,BTP020 - Hosahalli Metro Station,SCOOTER,15.339622641509434,78.04731757081184,27.576197387518143,100.0,22.263222632226324,4.064359138489344,78.04731757081184,62.737839439674794,4.064359138489344,100.0,55.74573455227585,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
35,"12.98,77.575",12.980005151113263,77.57488847192643,12.98,77.575,1033,880,1090.2250000000001,1.0553969022265248,0.30300096805421106,1.0,118,Upparpet,BTP057 - Anand Rao Junction,PASSENGER AUTO,8.754237288135593,81.15462594247535,14.911994784876143,100.0,30.300096805421106,14.395855147480097,81.15462594247535,75.22791631510289,14.395855147480097,100.0,55.65944426849929,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
36,"12.977,77.571",12.97724528635458,77.57075488555778,12.977,77.571,1004,934,1052.543125,1.0483497260956174,0.20717131474103587,1.0,91,Chamarajpet,BTP048 - Shanthala Junction,PASSENGER AUTO,11.032967032967033,80.78513028960985,19.29416737109045,100.0,20.717131474103585,14.252035226441171,80.78513028960985,71.38780079717158,14.252035226441171,100.0,55.63451062867103,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
37,"12.978,77.575",12.977949901159421,77.57537562202899,12.978,77.575,1035,921,907.4143750000001,0.8767288647342996,0.3545893719806763,1.0,132,Upparpet,BTP045 - Danvanthri Road Junction,SCOOTER,7.840909090909091,81.1797250951492,13.155594405594407,100.0,35.45893719806763,10.74956866804693,81.1797250951492,74.99700826292852,10.74956866804693,100.0,55.38163922606973,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
38,"13.071,77.588",13.071189507711754,77.58803781578963,13.071,77.588,3280,2477,1589.5405,0.484616006097561,0.32621951219512196,0.0,115,Kodigehalli,No Junction,SCOOTER,28.52173913043478,96.15297698635989,52.926421404682266,0.0,32.6219512195122,2.7472654305624697,96.15297698635989,80.31986158382361,2.7472654305624697,0.0,55.22971781072199,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
39,"12.964,77.584",12.964137505263158,77.58395573222342,12.964,77.584,931,883,667.275625,0.7167299946294307,0.38560687432867885,1.0,107,Halasuru Gate,"BTP080 - NR Road, SP Road Junction",SCOOTER,8.700934579439252,79.80564424309068,14.809489575844717,100.0,38.56068743286789,7.484285604682259,79.80564424309068,72.53002887867046,7.484285604682259,100.0,55.22912739495247,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
40,"12.999,77.549",12.999164215741674,77.54889431291625,12.999,77.549,991,657,575.103125,0.5803260595358224,0.2704339051463169,1.0,92,Rajajinagar,BTP027 - Modi Bridge Junction,SCOOTER,10.771739130434783,80.61601974147179,18.79180602006689,100.0,27.04339051463169,4.700531827261681,80.61601974147179,67.02515971044699,4.700531827261681,100.0,55.11875163579477,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
41,"12.999,77.55",12.999232978798176,77.54973965705392,12.999,77.55,909,722,798.7725,0.8787376237623763,0.33443344334433445,1.0,101,Rajajinagar,BTP027 - Modi Bridge Junction,SCOOTER,9.0,79.4953648154566,15.384615384615385,100.0,33.44334433443345,10.790563750252577,79.4953648154566,72.8443061903783,10.790563750252577,100.0,55.06769058080509,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
42,"12.979,77.575",12.97896287231097,77.57506764696485,12.979,77.575,939,849,1132.05375,1.2055950479233226,0.29605963791267303,1.0,119,Upparpet,BTP057 - Anand Rao Junction,CAR,7.890756302521009,79.91666036735297,13.251454427925017,100.0,29.605963791267303,17.461123427006584,79.91666036735297,75.39560029620948,17.461123427006584,100.0,54.986236475749834,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
43,"12.977,77.579",12.976927790585775,77.57893662405858,12.977,77.579,956,770,1111.421875,1.1625751830543933,0.2719665271966527,1.0,121,Upparpet,BTP044 - Sagar Theatre Junction,CAR,7.900826446280992,80.1494654682621,13.270820089001909,100.0,27.19665271966527,16.583167001110066,80.1494654682621,74.31747546823931,16.583167001110066,100.0,54.75547318163285,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
44,"12.982,77.607",12.982116758426965,77.60686638988764,12.982,77.607,623,499,569.116875,0.9135102327447834,0.5345104333868379,1.0,83,Shivajinagar,BTP051 - Safina Plaza Junction,SCOOTER,7.506024096385542,74.59476268875486,12.511584800741426,100.0,53.45104333868379,11.50020883152619,74.59476268875486,75.57283379908569,11.50020883152619,100.0,54.460926492708296,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
45,"12.975,77.575",12.975106598858074,77.57474188482871,12.975,77.575,613,500,840.310625,1.3708166802610113,0.4632952691680261,1.0,87,Upparpet,BTP045 - Danvanthri Road Junction,CAR,7.045977011494253,74.38492278616316,11.62687886825818,100.0,46.32952691680261,20.832993474714517,74.38492278616316,77.9042014903828,20.832993474714517,100.0,54.37694087068152,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
46,"12.968,77.575",12.9680899244284,77.57472526486161,12.968,77.575,831,712,981.333125,1.180906287605295,0.30685920577617326,1.0,107,Chamarajpet,"BTP083 - AS Char Street, Mysore Road",PASSENGER AUTO,7.766355140186916,78.33140973953509,13.012221423436376,100.0,30.685920577617328,16.957271175618263,78.33140973953509,74.19146446971129,16.957271175618263,100.0,54.34993842699669,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
47,"12.979,77.579",12.978925095142827,77.57901698837796,12.979,77.579,952,740,1218.39875,1.2798306197478992,0.18277310924369747,1.0,114,Upparpet,BTP058 - Subbanna Junction,CAR,8.350877192982455,80.09506200666627,14.136302294197028,100.0,18.277310924369747,18.976135096895902,80.09506200666627,72.0516569767166,18.976135096895902,100.0,54.297444978342334,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
48,"12.98,77.61",12.980022690954772,77.60976545552764,12.98,77.61,398,360,554.924375,1.3942823492462313,0.5829145728643216,1.0,47,Shivajinagar,BTP051 - Safina Plaza Junction,CAR,8.46808510638298,68.78631149662262,14.361702127659576,100.0,58.291457286432156,21.311884678494515,68.78631149662262,76.84267495931581,21.311884678494515,100.0,54.06528432705662,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
49,"12.962,77.599",12.96186945500821,77.59900771543514,12.962,77.599,609,334,336.246875,0.5521295155993432,0.20032840722495895,1.0,41,Ashok Nagar,BTP172 - Nanjappa Circle,SCOOTER,14.853658536585366,74.30002831749691,26.641651031894938,100.0,20.032840722495894,4.125092155088637,74.30002831749691,59.0266493650677,4.125092155088637,100.0,53.79621737273096,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
