id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp,created_at_ist,violation_items,parking_violation,date,month,weekday,hour,is_peak_hour,is_weekend,near_junction,violation_severity,vehicle_pcu,junction_weight,peak_weight,grid_lat,grid_lon,grid_id,incident_impact
FKID000010,12.9760117,77.5995401,"Sri ML Subbaraju Road, Mahatma Gandhi Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0010,CAR,,"[""WRONG PARKING""]",[112],2023-12-22 03:04:46+00,,2023-12-22 03:09:54.679433+00,FKDEV00007,FKUSR00007,2.0,Cubbon Park,True,No Junction,,,FKN00GL0010,CAR,rejected,2023-12-22 23:03:56.908+00,2023-12-22 08:34:46+05:30,['WRONG PARKING'],True,2023-12-22,2023-12,Friday,8,1,0,0,1.05,1.0,1.0,1.2,12.976,77.6,"12.976,77.6",1.26
FKID000011,12.9977199,77.5444952,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0011,CAR,,"[""WRONG PARKING""]",[112],2023-11-28 06:34:46+00,,2023-11-28 07:03:47.64517+00,FKDEV00006,FKUSR00006,30.0,Vijayanagara,True,BTP205 - Modi Hospital Junction,,,FKN00GL0011,CAR,approved,2023-11-30 04:34:48.021+00,2023-11-28 12:04:46+05:30,['WRONG PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,1,1.05,1.0,1.25,1.0,12.998,77.544,"12.998,77.544",1.3125
FKID000012,13.0081997,77.6933216,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0012,CAR,,"[""NO PARKING""]",[113],2023-11-17 19:01:46+00,,2023-11-17 19:19:02.241512+00,FKDEV00008,FKUSR00008,15.0,K.R. Pura,True,No Junction,,,FKN00GL0012,CAR,approved,2023-11-17 19:28:16.324+00,2023-11-18 00:31:46+05:30,['NO PARKING'],True,2023-11-18,2023-11,Saturday,0,0,1,0,1.0,1.0,1.0,1.0,13.008,77.693,"13.008,77.693",1.0
FKID000013,12.9815968,77.6079858,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0013,PASSENGER AUTO,,"[""NO PARKING""]",[113],2023-11-28 07:01:46+00,,2023-11-28 07:02:53.521097+00,FKDEV00004,FKUSR00004,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL0013,PASSENGER AUTO,approved,2023-11-30 04:35:40.148+00,2023-11-28 12:31:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,1,1.0,0.75,1.25,1.0,12.982,77.608,"12.982,77.608",0.9375
FKID000014,12.9705743,77.5760169,"AS Char Main Road, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",FKN00GL0014,SCOOTER,,"[""NO PARKING""]",[113],2023-12-19 03:51:46+00,,2023-12-19 05:28:08.317588+00,FKDEV00009,FKUSR00009,28.0,City Market,False,BTP043 - Upparpet Junction,,,,,,,2023-12-19 09:21:46+05:30,['NO PARKING'],True,2023-12-19,2023-12,Tuesday,9,1,0,1,1.0,0.4,1.25,1.2,12.971,77.576,"12.971,77.576",0.6
FKID000015,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0015,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:56:46+00,,2023-11-28 07:00:43.68978+00,FKDEV00010,FKUSR00010,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0015,SCOOTER,approved,2023-11-30 04:37:39.874+00,2023-11-28 12:26:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,0,1.0,0.4,1.0,1.0,12.994,77.616,"12.994,77.616",0.4
FKID000016,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0016,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,,2023-11-28 07:00:45.101097+00,FKDEV00010,FKUSR00010,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0016,SCOOTER,approved,2023-11-30 04:37:34.994+00,2023-11-28 12:27:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,0,1.0,0.4,1.0,1.0,12.994,77.616,"12.994,77.616",0.4
FKID000017,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0017,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,,2023-11-28 07:01:28.276715+00,FKDEV00010,FKUSR00010,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0017,SCOOTER,rejected,2023-11-30 04:37:56.68+00,2023-11-28 12:27:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,0,1.0,0.4,1.0,1.0,12.994,77.616,"12.994,77.616",0.4
FKID000018,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0018,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 07:00:46+00,,2023-11-28 07:01:28.857912+00,FKDEV00010,FKUSR00010,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0018,SCOOTER,rejected,2023-11-30 04:37:58.282+00,2023-11-28 12:30:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,0,1.0,0.4,1.0,1.0,12.994,77.616,"12.994,77.616",0.4
FKID000019,12.912504769635532,77.63381218775751,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL0019,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-26 08:11:46+00,,2023-11-27 21:01:00.594232+00,FKDEV00011,FKUSR00011,45.0,HSR Layout,True,No Junction,,,FKN00GL0019,SCOOTER,approved,2023-11-30 04:37:54.775+00,2023-11-26 13:41:46+05:30,['WRONG PARKING'],True,2023-11-26,2023-11,Sunday,13,0,1,0,1.05,0.4,1.0,1.0,12.913,77.634,"12.913,77.634",0.42000000000000004
FKID000020,12.9818638,77.6076237,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0020,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-17 05:07:46+00,,2023-11-17 05:14:46.028853+00,FKDEV00012,FKUSR00012,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL0020,SCOOTER,approved,2023-11-18 23:50:57.339+00,2023-11-17 10:37:46+05:30,['WRONG PARKING'],True,2023-11-17,2023-11,Friday,10,1,0,1,1.05,0.4,1.25,1.2,12.982,77.608,"12.982,77.608",0.63
FKID000021,12.8788916,77.5455426,"Konanakunte Main Road, SV Jasmine, BCMC Layout, Raghuvanahalli, Bengaluru, Karnataka. Pin-560062 (India)",FKN00GL0021,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-16 01:03:46+00,,2023-11-18 04:35:36.175195+00,FKDEV00013,FKUSR00013,83.0,Thalagattapura,True,No Junction,,,FKN00GL0021,SCOOTER,rejected,2023-11-18 23:52:14.338+00,2023-11-16 06:33:46+05:30,['WRONG PARKING'],True,2023-11-16,2023-11,Thursday,6,0,0,0,1.05,0.4,1.0,1.0,12.879,77.546,"12.879,77.546",0.42000000000000004
FKID000022,13.0081888,77.6940167,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0022,CAR,,"[""NO PARKING""]",[113],2023-11-28 06:47:46+00,,2023-11-28 06:58:07.026088+00,FKDEV00014,FKUSR00014,15.0,K.R. Pura,True,No Junction,,,FKN00GL0022,CAR,approved,2023-11-30 04:39:10.109+00,2023-11-28 12:17:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,0,1.0,1.0,1.0,1.0,13.008,77.694,"13.008,77.694",1.0
FKID000023,12.899345,77.6755017,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0023,SCOOTER,,"[""NO PARKING""]",[113],2023-11-20 02:20:46+00,,2023-11-20 02:26:14.689345+00,FKDEV00015,FKUSR00015,82.0,Bellandur,False,No Junction,,,,,,,2023-11-20 07:50:46+05:30,['NO PARKING'],True,2023-11-20,2023-11,Monday,7,0,0,0,1.0,0.4,1.0,1.0,12.899,77.676,"12.899,77.676",0.4
FKID000024,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0024,MOTOR CYCLE,,"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]","[112,113,111,109,108,107]",2024-03-14 22:43:46+00,,2024-03-14 23:14:11.93647+00,FKDEV00016,FKUSR00016,13.0,HAL Old Airport,True,No Junction,,2024-04-01 17:45:48.438875+00,FKN00GL0024,MOTOR CYCLE,approved,2024-04-12 23:12:41.345+00,2024-03-15 04:13:46+05:30,"['WRONG PARKING', 'NO PARKING', 'PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC', 'DOUBLE PARKING', 'PARKING OPPOSITE TO ANOTHER PARKED VEHICLE', 'PARKING IN A MAIN ROAD']",True,2024-03-15,2024-03,Friday,4,0,0,0,1.55,0.4,1.0,1.0,12.934,77.69,"12.934,77.69",0.6200000000000001
FKID000025,12.989134,77.5925278,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0025,CAR,,"[""WRONG PARKING""]",[112],2023-11-17 22:29:46+00,,2023-11-17 22:34:13.712901+00,FKDEV00017,FKUSR00017,11.0,High ground,True,BTP034 - LRDE Junction,,,FKN00GL0025,CAR,approved,2023-11-18 23:56:21.58+00,2023-11-18 03:59:46+05:30,['WRONG PARKING'],True,2023-11-18,2023-11,Saturday,3,0,1,1,1.05,1.0,1.25,1.0,12.989,77.593,"12.989,77.593",1.3125
FKID000026,12.9765458,77.5774892,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0026,CAR,,"[""WRONG PARKING""]",[112],2023-11-28 06:46:46+00,,2023-11-28 06:56:30.473282+00,FKDEV00018,FKUSR00018,3.0,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL0026,CAR,approved,2023-11-30 04:40:09.759+00,2023-11-28 12:16:46+05:30,['WRONG PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,1,1.05,1.0,1.25,1.0,12.977,77.577,"12.977,77.577",1.3125
FKID000027,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0027,SCOOTER,,"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]","[113,112,111,109,108,107]",2024-03-14 23:10:46+00,,2024-03-14 23:14:14.764896+00,FKDEV00016,FKUSR00016,13.0,HAL Old Airport,True,No Junction,,2024-04-01 17:45:48.456546+00,FKN00GL0027,SCOOTER,approved,2024-04-14 00:00:39.648+00,2024-03-15 04:40:46+05:30,"['NO PARKING', 'WRONG PARKING', 'PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC', 'DOUBLE PARKING', 'PARKING OPPOSITE TO ANOTHER PARKED VEHICLE', 'PARKING IN A MAIN ROAD']",True,2024-03-15,2024-03,Friday,4,0,0,0,1.55,0.4,1.0,1.0,12.934,77.69,"12.934,77.69",0.6200000000000001
FKID000028,12.9763636,77.577423,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0028,CAR,,"[""WRONG PARKING""]",[112],2023-11-28 06:48:46+00,,2023-11-28 06:56:33.260037+00,FKDEV00018,FKUSR00018,3.0,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL0028,CAR,approved,2023-11-30 04:40:16.959+00,2023-11-28 12:18:46+05:30,['WRONG PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,1,1.05,1.0,1.25,1.0,12.976,77.577,"12.976,77.577",1.3125
FKID000029,12.9766493,77.5773587,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0029,CAR,,"[""WRONG PARKING""]",[112],2023-11-28 06:44:46+00,,2023-11-28 06:56:28.143198+00,FKDEV00018,FKUSR00018,3.0,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL0029,CAR,approved,2023-11-30 04:40:20.66+00,2023-11-28 12:14:46+05:30,['WRONG PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,1,1.05,1.0,1.25,1.0,12.977,77.577,"12.977,77.577",1.3125
FKID000030,12.9170676,77.6516121,"27th Main Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL0030,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-17 08:10:46+00,,2023-11-17 19:18:44.598596+00,FKDEV00019,FKUSR00019,45.0,HSR Layout,True,No Junction,,,FKN00GL0030,SCOOTER,approved,2023-11-17 19:28:22.477+00,2023-11-17 13:40:46+05:30,['WRONG PARKING'],True,2023-11-17,2023-11,Friday,13,0,0,0,1.05,0.4,1.0,1.0,12.917,77.652,"12.917,77.652",0.42000000000000004
FKID000031,13.008236,77.6938222,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0031,SCOOTER,,"[""NO PARKING""]",[113],2023-11-17 18:42:46+00,,2023-11-17 19:15:29.162726+00,FKDEV00008,FKUSR00008,15.0,K.R. Pura,True,No Junction,,,FKN00GL0031,SCOOTER,approved,2023-11-17 19:28:57.542+00,2023-11-18 00:12:46+05:30,['NO PARKING'],True,2023-11-18,2023-11,Saturday,0,0,1,0,1.0,0.4,1.0,1.0,13.008,77.694,"13.008,77.694",0.4
FKID000032,12.9739617,77.5783701,"Maharaja Times, 8th Cross Road, Balepet, Chikkapete, Chickpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560053, India",FKN00GL0032,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 06:12:46+00,,2024-03-10 08:07:07.025136+00,FKDEV00020,FKUSR00020,3.0,Upparpet,False,BTP044 - Sagar Theatre Junction,,,,,,,2024-03-10 11:42:46+05:30,['WRONG PARKING'],True,2024-03-10,2024-03,Sunday,11,0,1,1,1.05,1.0,1.25,1.0,12.974,77.578,"12.974,77.578",1.3125
FKID000033,13.0665088,77.5702131,"Kodigehalli Road, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0033,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 05:22:46+00,,2024-03-10 08:08:54.432531+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,,2024-03-10 10:52:46+05:30,['WRONG PARKING'],True,2024-03-10,2024-03,Sunday,10,1,1,0,1.05,1.0,1.0,1.2,13.067,77.57,"13.067,77.57",1.26
FKID000034,13.0636063,77.5719658,"Kodigehalli Road, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0034,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 05:25:46+00,,2024-03-10 08:08:55.27449+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,,2024-03-10 10:55:46+05:30,['WRONG PARKING'],True,2024-03-10,2024-03,Sunday,10,1,1,0,1.05,1.0,1.0,1.2,13.064,77.572,"13.064,77.572",1.26
FKID000035,13.0636063,77.5719658,"Kodigehalli Road, Sri Chigaru Marappa Circle, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0035,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 05:30:46+00,,2024-03-10 08:08:56.201181+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,,2024-03-10 11:00:46+05:30,['WRONG PARKING'],True,2024-03-10,2024-03,Sunday,11,0,1,0,1.05,1.0,1.0,1.0,13.064,77.572,"13.064,77.572",1.05
FKID000036,13.0635231,77.5720156,"Kodigehalli Road, Sri Chigaru Marappa Circle, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0036,GOODS AUTO,,"[""WRONG PARKING""]",[112],2024-03-10 05:30:46+00,,2024-03-10 08:08:56.891983+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,,2024-03-10 11:00:46+05:30,['WRONG PARKING'],True,2024-03-10,2024-03,Sunday,11,0,1,0,1.05,0.85,1.0,1.0,13.064,77.572,"13.064,77.572",0.8925
FKID000037,13.0453131,77.5055565,"Nelagadaranahalli Main Road, Nelakadirena Halli, T Dasarahalli, Bengaluru, Karnataka. Pin-560073 (India)",FKN00GL0037,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-17 21:28:46+00,,2023-11-17 21:53:25.671301+00,FKDEV00022,FKUSR00022,20.0,Peenya,True,No Junction,,,FKN00GL0037,SCOOTER,approved,2023-11-18 23:57:21.917+00,2023-11-18 02:58:46+05:30,['WRONG PARKING'],True,2023-11-18,2023-11,Saturday,2,0,1,0,1.05,0.4,1.0,1.0,13.045,77.506,"13.045,77.506",0.42000000000000004
FKID000038,12.996202,77.5631413,"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",FKN00GL0038,SCOOTER,,"[""NO PARKING""]",[113],2023-11-18 04:42:46+00,,2023-11-18 04:43:45.833175+00,FKDEV00023,FKUSR00023,87.0,Sheshadripuram,True,No Junction,,,FKN00GL0038,SCOOTER,approved,2023-11-19 00:00:51.76+00,2023-11-18 10:12:46+05:30,['NO PARKING'],True,2023-11-18,2023-11,Saturday,10,1,1,0,1.0,0.4,1.0,1.2,12.996,77.563,"12.996,77.563",0.48
FKID000039,12.9701331,77.6412858,"12th Main Road, Sony World Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL0039,CAR,,"[""NO PARKING""]",[113],2023-11-17 04:25:46+00,,2023-11-17 04:45:11.769215+00,FKDEV00024,FKUSR00024,4.0,Jeevanbheemanagar,True,No Junction,,,FKN00GL0039,CAR,approved,2023-11-19 00:00:50.531+00,2023-11-17 09:55:46+05:30,['NO PARKING'],True,2023-11-17,2023-11,Friday,9,1,0,0,1.0,1.0,1.0,1.2,12.97,77.641,"12.97,77.641",1.2
FKID000040,13.0067231,77.6877788,"MBT Road, ITI Township, KR Puram, Bengaluru, Karnataka. Pin-560016 (India)",FKN00GL0040,VAN,,"[""WRONG PARKING""]",[112],2023-11-17 20:26:46+00,,2023-11-17 21:36:53.353294+00,FKDEV00025,FKUSR00025,15.0,K.R. Pura,True,No Junction,,,FKN00GL0040,VAN,approved,2023-11-19 00:06:37.13+00,2023-11-18 01:56:46+05:30,['WRONG PARKING'],True,2023-11-18,2023-11,Saturday,1,0,1,0,1.05,1.1,1.0,1.0,13.007,77.688,"13.007,77.688",1.1550000000000002
FKID000041,12.9397103,77.6954773,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0041,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:15:46+00,,2023-11-27 21:53:35.740497+00,FKDEV00026,FKUSR00026,13.0,HAL Old Airport,True,No Junction,,,FKN00GL0041,CAR,approved,2023-11-30 04:45:45.058+00,2023-11-22 06:45:46+05:30,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",True,2023-11-22,2023-11,Wednesday,6,0,0,0,1.4,1.0,1.0,1.0,12.94,77.695,"12.94,77.695",1.4
FKID000042,13.0714811,77.5677451,"Kodigehalli Road, Uthallappa Layout, Thindlu, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0042,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 05:17:46+00,,2024-03-10 08:09:48.691762+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,,2024-03-10 10:47:46+05:30,['WRONG PARKING'],True,2024-03-10,2024-03,Sunday,10,1,1,0,1.05,1.0,1.0,1.2,13.071,77.568,"13.071,77.568",1.26
